keys,en,fr,de,it
TUTOBUBBLE3,Upgrade existing power plant,Améliorer les centrales existantes,Du kannst bestehende Kraftwerk aufrüsten,Ampiamento della centrale elettrica esistente
TUTOBUBBLE4,Implement policies,Le bouton de politique,Du kannst politische Massnahmen ergreifen,Implementare le politiche
DEMAND,Demand,Demande,Energiebedarg,Domanda
SUPPLY,Supply,Apport,Energieversorgung,Fornitura
LAND_USE,Land use,Utilisation des sols,Landverbrauch,Uso del Terreno
BIODIVERSITY,Biodiversity,Biodiversité,Biodiversität,Biodiversità
CO2_EMISSIONS,CO2 Emissions,Emissions,Verschmutzung,Emissioni
CO2_EMISSIONS_TEXT,CO2 emission shows how much greenhouse gas is released by the energy system. Lower emissions mean a lower impact on global warming. Some power plants emit CO2. Switzerland has decided to be carbon neutral and reach net zero by 2050.,Les émissions de CO2 indiquent la quantité de gaz à effet de serre libérée par le système énergétique. Des émissions plus faibles signifient un impact moindre sur le réchauffement de la planète. Certaines centrales électriques émettent du CO2. La Suisse a décidé d'être neutre en carbone et d'atteindre le niveau zéro d'ici 2050.,"Die CO2-Emissionen zeigen, wie viel Treibhausgas durch das Energiesystem freigesetzt wird. Geringere Emissionen bedeuten eine geringere Auswirkung auf die globale Erwärmung. Einige Kraftwerke stoßen CO2 aus. Die Schweiz hat beschlossen, bis zum Jahr 2050 kohlenstoffneutral zu werden und netto null zu erreichen.",L'emissione di CO2 indica la quantità di gas serra rilasciata dal sistema energetico. Emissioni più basse significano un minore impatto sul riscaldamento globale. Alcune centrali elettriche emettono CO2. La Svizzera ha deciso di essere neutrale dal punto di vista delle emissioni di carbonio e di raggiungere il livello zero entro il 2050.
IMPORTS_EMISSIONS,Imports Emissions,Pollution de l'importation,Import Verschmutzung,Inquinamento dall'importazione
IMPORTS_EMISSIONS_TEXT,Importing energy from neighbouring countries can also create emissions unless you pay more for green imports.,"L'importation d'énergie des pays voisins peut également générer des émissions, à moins que vous ne payiez plus cher pour des importations vertes.","Der Import von Energie aus Nachbarländern kann ebenfalls zu Emissionen führen, es sei denn, Sie zahlen mehr für grüne Importe.","Anche l'importazione di energia dai Paesi vicini può creare emissioni, a meno che non si paghi di più per le importazioni verdi."
SHOCK_REQUIREMENT_MET_TITLE,Bonus,Bonus,Bonus,Bonus
SHOCK_COLD_SPELL_TITLE,Cold Spell,Hiver Glacial,Kältezauber,Inverno gelido
SHOCK_COLD_SPELL_TEXT,Recent winters have been colder than usual. This has increased winter energy demand by 5 ⚡.,Ces derniers hivers ont été plus froids que d'habitude. Ceci a augmenté la demande d'énergie en hiver de 5 ⚡.,"In den letzten Wintern war es kälter als sonst, was den Energiebedarf im Winter um 5 ⚡ erhöht hat.",Gli ultimi inverni sono stati più freddi del solito. Questo ha aumentato la domanda di energia invernale di 5 ⚡.
SHOCK_COLD_SPELL_REQUIREMENT_MET,Energy production was high enough to wistand the shock.\n\n+5 👍 +50 💰,La production d'énergie était assez élevée pour amortir l'imprévu.\n\n+ 5 👍 + 50 💰,"Die Energieproduktion war hoch genug, um den Schock zu überstehen.\n\n+5 👍 +50 💰",La produzione di energia è stata sufficientemente elevata da attutire gli imprevisti.\n\n+ 5 👍 + 50 💰
SHOCK_COLD_SPELL_PLAYER_REACTION_1,Ask the population to lower their energy consumption.\n-10 👍,Demander à la population de diminuer leur consomation d'énergie.\n-10 👍,"Fordere die Bevölkerung auf, ihren Energieverbrauch zu senken.\n-10 👍",Chiedere alle persone di ridurre il loro consumo energetico. -10 👍
SHOCK_COLD_SPELL_PLAYER_REACTION_2,Turn on the spare gas plant.\n+10 Pollution 🏭,Améliorer l'usine à gaz.\n+ 10 pollution 🏭,Einschalten der Ersatzgasanlage.\n+10 Verschmutzung 🏭.,Attivare l'impianto a gas di riserva.\n+10 inquinamento 🏭
SHOCK_COLD_SPELL_PLAYER_REACTION_3,Import electricity from neighbouring countries.\n-50 💰,Importer de l'électricité des pays voisins.\n-50 💰,Strom aus Nachbarländern importieren.\n- 50 💰,Importazione di energia elettrica dai paesi limitrofi.\n- 50 💰Ondata di calore
SHOCK_HEAT_WAVE_TITLE,Heat Wave,Canicule,Hitzewelle,Ondata di calore
SHOCK_HEAT_WAVE_TEXT,"The summers have been hotter than usual, increasing the energy demand in summer by 5 ⚡",Les étés sont de plus en plus chaud. La demande en énergie a augmenté de 5 ⚡,"Die Sommer waren heisser als üblich, was den Energiebedarf im Sommer um 5 ⚡ erhöhte.",Le estati sono sempre più calde. La domanda di energia è aumentata di 5 ⚡
SHOCK_HEAT_WAVE_REQUIREMENT_MET,Energy production was high enough to wistand the shock.\n\n+5 👍 +50 💰,La production d'énergie était assez élevée pour amortir l'imprévu.\n\n+ 5 👍 + 50 💰,"Die Energieproduktion war hoch genug, um den Schock zu überstehen.\n\n+5 👍 +50 💰",La produzione di energia è stata sufficientemente elevata da attutire gli imprevisti.\n\n+10 👍 +50 💰
SHOCK_HEAT_WAVE_PLAYER_REACTION_1,Ask the population to turn their A/C down.\n-15 👍,Demander à la population de baisser leur climatisation.\n-15 👍,"Aufforderung an die Bevölkerung, ihre Klimaanlagen herunterzudrehen\n-15 👍",Attivare l'impianto a gas di riserva.\n+10 inquinamento 🏭
SHOCK_HEAT_WAVE_PLAYER_REACTION_2,Turn on the spare gas plant.\n+10 Pollution 🏭,Améliorer l'usine à gaz.\n+10 pollution 🏭,Einschalten der Ersatzgasanlage.\n+10 Verschmutzung 🏭,Importazione di energia elettrica dai paesi limitrofi. -50 💰
SHOCK_HEAT_WAVE_PLAYER_REACTION_3,Import electricity from neighbouring countries.\n-50 💰,Importer de l'électricité des pays voisins.\n-50 💰,Stromimport aus Nachbarländern.\n-50 💰,Importazione di energia elettrica dai paesi limitrofi. -50 💰
SHOCK_GLACIERS_MELTING_TITLE,Glaciers melting,La fonte des glacier,Gletscher schmelzen,Scioglimento dei ghiacciai
SHOCK_GLACIERS_MELTING_TEXT,"The hydraulic plants depend on the state of the glaciers. As long as the net zero is not reached, the glaciers will continue to melt, decreasing the availability of the hydraulic water supply.","Les centrales hydrauliques dépendent de l'état des glaciers. Tant que la pollution continuera à affecter la fonte des glaciers, la disponibilité en eau baissera pour les centrales hydrauliques.","Die Wasserkraftwerke sind vom Zustand der Gletscher abhängig. Solange der Netto-Nullpunkt nicht erreicht ist, schmelzen die Gletscher weiter, wodurch die Verfügbarkeit der Wasserkraft abnimmt.","Le centrali idroelettriche dipendono dallo stato dei ghiacciai. Finché l'inquinamento continuerà a influire sullo scioglimento dei ghiacciai, la disponibilità di acqua per le centrali idroelettriche diminuirà."
SHOCK_SEVERE_WEATHER_TITLE,Severe Weather,Tempête,Stürmisches Wetter,Maltempo
SHOCK_SEVERE_WEATHER_TEXT,Severe weather throughout the year have lowered the energy production of solar panels and wind turbines. Wind and Solar energy -20% ⚡,Le temps imprévisible a réduit la production d'énergie du solaire et du vent. Energie solaire et éolienne -20% ⚡,Unwetter im Laufe des Jahres haben die Energieproduktion von Sonnenkollektoren und Windturbinen beeinträchtigt. Wind- und Solarenergie -20% ⚡,Il maltempo riduce la produzione di energia solare ed eolica. Energia solare ed eolica -20% ⚡
SHOCK_INC_RAW_COST_10_TITLE,Rise of material costs,Augmentation des prix,Anstieg der Materialkosten,Volatilita dei prezzi
SHOCK_INC_RAW_COST_10_TEXT,The prices of raw material have increased resulting in production costs going up by 10%.,"Le prix des matières premières ont augmenté, les coûts de production ont augmenté de 10%","Die Rohstoffpreise sind gestiegen, was zu einem Anstieg der Produktionskosten um 10 % geführt hat.",I prezzi delle materie prime sono aumentati e i costi di produzione sono cresciuti del 10%.
SHOCK_INC_RAW_COST_20_TITLE,Rise of material costs,Augmentation des prix,Anstieg der Materialkosten,Volatilita dei prezzi
SHOCK_INC_RAW_COST_20_TEXT,The prices of raw material have increased resulting in production costs going up by 20%.,"Le prix des matières premières ont augmenté, les coûts de production ont augmenté de 20%","Die Rohstoffpreise sind gestiegen, was zu einem Anstieg der Produktionskosten um 20 % geführt hat.",I prezzi delle materie prime sono aumentati e i costi di produzione sono cresciuti del 20%.
SHOCK_DEC_RAW_COST_20_TITLE,Reduction of material costs,Réduction des prix,Reduktion der Materialkosten,Riduzione dei prezzi dei materiali
SHOCK_DEC_RAW_COST_20_TEXT,The prices of raw material have decreased resulting in production costs going down by 20%.,"Les prix des matières premières ont diminué, ce qui a entraîné une baisse des coûts de production de 20 %.","Die Preise für Rohstoffe sind gesunken, was zu einer Verminderung der Produktionskosten um 20% geführt hat.",Il prezzo delle matere prime è dimumito. Il costo di produzione diminuisce del 20%.
SHOCK_NO_SHOCK_TITLE,Calm years,,Ruhige Jahre,In questi anni non ci sono variazioni signficative
SHOCK_NO_SHOCK_TEXT,The past years were calmer than usual,,Die letzten Jahre waren ruhiger als gewöhnlich.,Gli anni passati sono stati piu calmi del solito
SHOCK_MASS_IMMIGRATION_TITLE,Refugee Crisis,Réfugiés climatiques,Flüchtlingskrise,Rifugiati climatic
SHOCK_MASS_IMMIGRATION_TEXT,The population has been increasing faster due to the climate refugee crisis. Energy demand in winter and summer +5 ⚡,La population a augmenté plus rapidement que prévu à cause de la crise climatique. Augmentation de la demande en énergie +5⚡,Die Bevölkerung ist aufgrund der Klimaflüchtlingskrise schneller gewachsen. Energiebedarf im Winter und Sommer +5 ⚡,La popolazione è cresciuta più velocemente del previsto a causa della crisi climatica. Aumento della domanda di energia +5⚡
SHOCK_RENEWABLE_SUPPORT_TITLE,Increase in support,Augmentation du soutien,Bevölkerung für Erneuerbare,La popolarità verso le rinnovabili è aumentata
SHOCK_RENEWABLE_SUPPORT_TEXT,There was an increase in political support for renewable energies. Your support increases by +10 👍,Le soutien politique aux énergies renouvelables s'est accru. Votre soutien augmente de +10.,Die Unterstützung für erneuerbare Energien in der Bevölkerung hat zugenommen. Dein Support nimmt um +10 zu 👍,C'è stato un aumento del supporto politico per l'energia rinnovabile. La popolarità della vostra proposta energetica è aumentata del +10 👍
SHOCK_NUC_REINTRO_TITLE,Nuclear Re-introduction,Ré-introduction du nucléaire,Wiedereinführung der Kernenergie,Reintroduzione dell'energia nucleare
SHOCK_NUC_REINTRO_TEXT,The population wants to vote on the future of the nuclear again.,La population souhaite voter sur la question du nucléaire. Que faire ?,Die Bevölkerung will erneut über die Zukunft der Kernenergie abstimmen.,L'opinione pubblica vuole votare sul nucleare. Cosa possiamo fare?
SHOCK_NUC_REINTRO_PLAYER_REACTION_1,Yes for reintroducig nuclear power.,Oui pour la ré-introduction du nucléaire.,Ja zur Wiedereinführung der Kernenergie.,Sì alla reintroduzione dell'energia nucleare.
SHOCK_NUC_REINTRO_PLAYER_REACTION_2,"No, it's time to de-transition from nuclear.","Non, il est temps de dé-transitioner du nucléaire.","Nein, es ist Zeit, definitiv aus der Kernenergie auszusteigen.","No, è ora di abbandonare il nucleare."
NEXT_TURN_BUTTON_LABEL,Next turn,Prochain tour,Nächste Runde,Prossimo turno
NOT_ENOUGH_ENERGY,Not enough energy,Pas assez d'énergie,Nicht genug Energie,Non c'è abbastanza energia
SETTINGS,Settings,Réglages,Einstellungen,Impostazioni
POLICIES,Policies,Politique,Politische\nMassnahmen,Politiche
RESOURCES,Resources,Ressources,Ressourcen,Risorse
ENVIRONMENT,Environment,Environnement,Umfeld,Ambiente
EMISSIONS,Emissions,Emissions,Verschmutzung,Emissioni
IMPORT,Import,Import,Import,Importazione
ENERGY,Energy,Energie,Energie,Energia
POLICIES_EXPLANATION_CAMPAIGNS_TITLE,- Campaigns -,- Campagnes -, - Kampagnen -,- Campagne -
POLICIES_EXPLANATION_CAMPAIGNS_TEXT,Information campaigns help boost the popularity of your policies,Les campagnes d'information contribuent à renforcer la popularité de vos politiques,"Informationskampagnen tragen dazu bei, die Popularität Ihrer Politik zu steigern",Le campagne di informazione contribuiscono ad aumentare la popolarità delle vostre polizze
POLICIES_EXPLANATION_POLICIES_TITLE,- Policies -,- Politiques -,- Politik -,- Politiche -
POLICIES_EXPLANATION_POLICIES_TEXT,"Policies can help improve existing renewable power plants or lower demand in energy. The population gets to decide, so your support score needs to be good if you want to implement policies","Les politiques peuvent contribuer à améliorer les centrales d'énergie renouvelable existantes ou à réduire la demande en énergie. La population décide, donc votre score de soutien doit être bon si vous voulez mettre en œuvre des politiques.","Politische Maßnahmen können dazu beitragen, bestehende erneuerbare Kraftwerke zu verbessern oder die Energienachfrage zu senken. Die Bevölkerung entscheidet, daher muss Ihr Unterstützungsergebnis gut sein, wenn Sie eine Politik umsetzen wollen","Le politiche possono aiutare a migliorare le centrali elettriche rinnovabili esistenti o a ridurre la domanda di energia. È la popolazione a decidere, quindi il punteggio di supporto deve essere buono se si vogliono implementare le politiche."
POLICIES_ENVIRONMENTAL_CAMPAIGN,Environmental campaign,Campagne environnementale,Umweltkampagne,Campagna ambientale
POLICIES_ENERGY_CAMPAIGN,Energy campaign,Campagne énergétique,Energiekampagne,Campagna energetica
POLICIES,Policies,Politiques,Politik,Politiche
EFFECT,Effects,Effets,Effekte,Effetti
POLICIES_ENVIRONMENTAL_CAMPAIGN_TITLE,Renewable energy,Energies renouvelables,Erneuerbare Energie,Energia rinnovabile
POLICIES_ENVIRONMENTAL_CAMPAIGN_TEXT,Start an information campaign on the advantages of renewable energy.,Démarre une campagne d'information sur les avantages des énergies renouvelables,Start einer Informationskampagne über die Vorteile der erneuerbaren Energien.,Inizia una campagna di informazione sui vantaggi dell'energia rinnovabile
POLICIES_ENVIRONMENTAL_CAMPAIGN_EFFECT,- Increase environmental policy,- Augmente le soutien pour les politiques environnementales de 10%,- Erhöhung der Unterstützung für Umweltpolitik um 10%,- Aumenta il supporto delle potiche ambientali del 10%
POLICIES_ENERGY_CAMPAIGN_TITLE,Home insulation,Isolation de l'habitat,Hausisolierungen,Isolamento termico della casa
POLICIES_ENERGY_CAMPAIGN_TEXT,Start an information campaign explaining the advantages of home insulation.,Lancer une campagne d'information expliquant les avantages de l'isolation des habitations.,Start einer Informationskampagne über die Vorteile der Gebäudeisolierung.,Inizia una campagna di informazione spiegando i vantaggi dell'isolamento termico della casa.
POLICIES_ENERGY_CAMPAIGN_EFFECT,- Increase energy policy support by 10%,- Augmente le soutien pour les politiques énergétiques de 10%,- Erhöhung der Unterstützung für Energiepolitik um 10%,- Aumenta il supporto delle potiche energetiche del 10%
POLICIES_ENVIRONMENTAL_POLICY_1_TITLE,Enable alpine solar PV,Autoriser la construction de centrales solaires dans les Alpes,Alpine PV ermöglichen,Permetti la costruzione di impianti solari alpini
POLICIES_ENVIRONMENTAL_POLICY_1_TEXT,Limitation of appeals to large scale solar projects,Limitation des recours aux projets solaires à grande échelle,Beschränkung der Einspachemöglichkeiten bei grossen Solarprojekten.,Limitazione del sostegno alla costruzione di impianti solari di grandi dimensioni.
POLICIES_ENVIRONMENTAL_POLICY_1_EFFECT_1,- Increase solar plant upgrades from 1 to 3,- Augmentation du nombre de centrales solaires de 1 à 3,- Erhöht Solaranlagen-Upgrades von 1 auf 3.,- Incrementa innovazione degli impianti solari da 1 a 3
POLICIES_ENVIRONMENTAL_POLICY_2_TITLE,Fast track wind parks,Innovation dans les délais de construction des parcs éoliens,Schneller zu neuen Windparks,Innovazione nei tempi di costruzione dei parchi eolici
POLICIES_ENVIRONMENTAL_POLICY_2_TEXT,Limitation of the possibilities of appeal for wind parks.,Limitation des possibilités de recours pour les parcs éoliens.,Beschränkung der Einspachemöglichkeiten bei Windpark-Projekten.,Limitazione del sostegno alla costruzione di parchi eolici.
POLICIES_ENVIRONMENTAL_POLICY_2_EFFECT_1,- Lowers required building time for wind parks from 2 to 0 turns,- Réduction du temps de construction requis pour les parcs éoliens de 2 à 0 tours,- Verringert die Wartezeit für den Bau von Windparsk von 2 auf 0.,- Riduce il tempo per la costruzione di parchi eolici da 2 a 0
POLICIES_ENVIRONMENTAL_POLICY_3_TITLE,Wind parks regulation,Réglementation des parcs éoliens,Windpark-Regulierung,Regolazione dei parchi eolici
POLICIES_ENVIRONMENTAL_POLICY_3_TEXT,Limitation of the possibilities of appeal for wind parks.,Limitation des possibilités de recours pour les parcs éoliens.,Beschränkung der Einspachemöglichkeiten bei Windpark-Projekten.,Limitazione del sostegno alla costruzione di parchi eolic.
POLICIES_ENVIRONMENTAL_POLICY_3_EFFECT_1,- Increase wind parks upgrades from 2 to 5.,- Augmentation du nombre de parcs éoliens de 2 à 5.,- Erhöht Windpart-Upgrades von 2 auf 5.,- Aumenta innovazione dei parchi eolici da 2 a 5
POLICIES_ENERGY_POLICY_1_TITLE,Mandatory Building Insulation,Isolation obligatoire des bâtiments,Obligatorische Gebäudeisolierung,L'isolazione termica degli edifici è obligatoria
POLICIES_ENERGY_POLICY_1_TEXT,All buildings must be better insulated.,Tous les bâtiments doivent être mieux isolés.,Alle Gebäude müssen innerhalb von n Runden isoliert werden.,Tutti gli edifici devono essere termicamente isolati nei prossimi n turni di gioco.
POLICIES_ENERGY_POLICY_1_EFFECT_1,- Lowers energy demand by 5 in the Summer,- Réduit la demande d'énergie de 5 en été,- Reduziert den Energiebedarf im Sommer um 5,- La domanda di energia diminuisce di 5 in estate
POLICIES_ENERGY_POLICY_1_EFFECT_2,- Lowers energy demand by 5 in the Winter,- Réduit la demande d'énergie de 5 en hiver,- Reduziert den Energiebedarf im Winter um 5,- La domanda di energia diminuisce di 5 in inverno
POLICIES_ENERGY_POLICY_2_TITLE,Industry Subsidy,Subventions à l'industrie,Unterstützung für die Industrie,Sussidi per industria
POLICIES_ENERGY_POLICY_2_TEXT,Provide industries with grants for less energy intensive production.,Fournir aux industries des subventions pour une production moins gourmande en énergie.,"Gewährung von Subventionen an die Industrie, um eine weniger energieintensive Produktion zu fördern",Fornisce alle industrie finanziamenti per ridurre la produzione energetica intesiva
POLICIES_ENERGY_POLICY_2_EFFECT_1,- Lowers energy demand by 5 in the Summer,- Réduit la demande d'énergie de 5 en été,- Reduziert den Energiebedarf im Sommer um 5,- Riduce la domanda di energia di 5 in estate
POLICIES_ENERGY_POLICY_2_EFFECT_2,- Lowers energy demand by 5 in the Winter,- Réduit la demande d'énergie de 5 en hiver,- Reduziert den Energiebedarf im Winter um 5,- Riduce la domanda di energia di 5 in inverno
ESTIMATED_ACCEPTANCE_CHANCE,Estimated accpetance chance,Estimation des chances d'acceptation,Geschätzte Akzeptanzchance,Probabilità di accettazione stimata
DURATION_OF_CAMPAIGN,Duration of campaign : 1 turn,Durée de la campagne : 1 tour,Dauer der Kampagne : 1 Runde,Durata della campagna: 1 turno
START_CAMPAIGN,Start,Démarrer,Beginnen,Inizio
CAMPAIGN_STARTED,The campaign has started!,La campagne a commencé !,Die Kampagne hat begonnen!,La campagna è iniziata!
VOTE,Vote,Voter,Abstimmen,Voto
VOTE_FAILED,Policy failed to be passed...,La politique n'a pas été adoptée...,Die Politik wurde nicht verabschiedet...,La politica non è stata approvata...
VOTE_SUCCEEDED,Policy was passed successfully!,La politique a été adoptée avec succès !,Die Richtlinie wurde erfolgreich verabschiedet!,La politica è stata approvata con successo!
GAS,Gas,Gaz,Gas,Gas
NUCLEAR,Nuclear,Nucléaire,Atomkraftwerk,Nucleare
HYDRO,Hydro,Hydraulique,Wasserkraft,Idroelettrica
WASTE,Waste,Incinération,Abfallverbrennung,Inceneritore
BIOMASS,Biomass,Biomasse,Biomasse,Biomassa
SOLAR,Solar,Solaire,Solar,Solare
WIND,Wind,Eolienne,Windrad,Eolica
GEOTHERMAL,Geothermal,Geothermique,Geothermische,Geotermica
SHUT_DOWN,Shutting down in {nbr} turns,S'arrête dans {nbr} tours,Abschaltung in {nbr} Runden,Spegnimento in {nbr} giri
PROD_COST,Production costs,Coûts de production,Produktionskosten,Costi di produzione
POLLUTION,CO2 Emissions,Émissions,Verschmutzung,Emissioni
BUDGET,Budget:,Budget :,Haushalt:,Bilancio:
BUDGET_TEXT,The budget shows you how much money you have and can spend. You start the game with 250.- and at the beginning of each turn receive 250.-,"Le budget vous indique combien d'argent vous avez et pouvez dépenser. Vous commencez la partie avec 250.- et au début de chaque tour, vous recevez 250.-.","Das Budget zeigt dir, wie viel Geld du hast und ausgeben kannst. Sie beginnen das Spiel mit 250.- und erhalten zu Beginn jeder Runde 250.-.",Il budget mostra quanto denaro si ha e si può spendere. Si inizia la partita con 250.- e all'inizio di ogni turno si ricevono 250.-
PRODUCTION,Production:,Production :,Produktion:,Produzione:
PRODUCTION_TEXT,Some power plants have production costs because they need materials to run.,Certaines centrales électriques ont des coûts de production car elles ont besoin de matériaux pour fonctionner.,"Einige Kraftwerke haben Produktionskosten, weil sie für ihren Betrieb Materialien benötigen.",Alcune centrali elettriche hanno costi di produzione perché hanno bisogno di materiali per funzionare.
BUILDING,Building:,Construction :,Konstruktion:,Costruzione:
BUILDING_TEXT,Indicates how much you have spent on building or upgrading power plants.,Indique le montant que vous avez dépensé pour construire ou améliorer des centrales électriques.,"Gibt an, wie viel Sie für den Bau oder die Aufrüstung von Kraftwerken ausgegeben haben.",Indica quanto si è speso per costruire o potenziare le centrali elettriche.
IMPORTS,Imports:,Importations :,Einfuhren:,Importazioni:
IMPORTS_TEXT,Indicates how much you will be spending on imports. Clean imports costs 1.5 times more,"Indique le montant que vous dépenserez pour les importer de l'énergie. Les importations propres coûtent 1,5 fois plus cher","Gibt an, wie viel Sie für Importe ausgeben werden. Saubere Importe kosten 1,5 Mal mehr","Indica quanto si spenderà per le importazioni. Le importazioni pulite costano 1,5 volte di più"
LOAN,Loan:,Emprunt : ,Darlehen:,Prestito:
LOAN_TEXT,Indicates how much money you owe.,Indique le montant de votre dette.,"Gibt an, wie viel Geld Sie schulden.",Indica l'importo del debito.
TOTAL,Total,Total,Insgesamt,Totale
CURRENT_TURN,Now,Ce tour,Jetzt,Ora
NEXT_TURN,Next turn,Prochain tour,Nächste Runde,Prossimo turno
TURN,Turn,Tour,Runde,Turno
REMAINING_TURNS,Remaining turns,Tours restants,Restliche Runden,Turni rimanenti
NUCLEAR_WARNING,A nuclear plant is shutting down next turn\n⚠️,Une centrale nucléaire sera fermée au prochain tour\n⚠️,Ein Kernkraftwerk wird in der nächsten Runde abgeschaltet\n⚠️,Una centrale nucleare sarà chiusa nella prossima tornata\n⚠️
ECONOMY,Economy,Economie,Wirtschaft,Economia
